"VAAT"|"Vaccinium atrococcum"|"downy blueberry"|||"22426509"|"93528558"
"ACRU"|"Acer rubrum"|"red maple"|||"22426510"|"93528559"
"ILOP"|"Ilex opaca"|"American holly"|||"22426510"|"93528560"
"MOCE2"|"Morella cerifera"|"wax myrtle"|||"22426510"|"93528561"
"SANI"|"Salix nigra"|"black willow"|||"22426510"|"93528562"
"SMILA2"|"Smilax"|"greenbrier"|||"22426510"|"93528563"
"COFL2"|"Cornus florida"|"flowering dogwood"|||"22426511"|"93528564"
"ILOP"|"Ilex opaca"|"American holly"|||"22426511"|"93528565"
"OXAR"|"Oxydendrum arboreum"|"sourwood"|||"22426511"|"93528566"
"SMILA2"|"Smilax"|"greenbrier"|||"22426511"|"93528567"
"VACCI"|"Vaccinium"|"blueberry"|||"22426511"|"93528568"
"COFL2"|"Cornus florida"|"flowering dogwood"|||"22426516"|"93528583"
"ILOP"|"Ilex opaca"|"American holly"|||"22426516"|"93528584"
"OXAR"|"Oxydendrum arboreum"|"sourwood"|||"22426516"|"93528585"
"SMILA2"|"Smilax"|"greenbrier"|||"22426516"|"93528586"
"VACCI"|"Vaccinium"|"blueberry"|||"22426516"|"93528587"
"CAREX"|"Carex"|"sedge"|||"22426517"|"93528588"
"LONIC"|"Lonicera"|"honeysuckle"|||"22426517"|"93528589"
"PAAN"|"Panicum anceps"|"beaked panicum"|||"22426517"|"93528590"
"PAHE2"|"Panicum hemitomon"|"maidencane"|||"22426517"|"93528591"
"PANIC"|"Panicum"|"panicum"|||"22426517"|"93528592"
"SMILA2"|"Smilax"|"greenbrier"|||"22426517"|"93528593"
"UNIOL"|"Uniola"|"uniola"|||"22426517"|"93528594"
"COFL2"|"Cornus florida"|"flowering dogwood"|||"22426512"|"93528569"
"ILOP"|"Ilex opaca"|"American holly"|||"22426512"|"93528570"
"OXAR"|"Oxydendrum arboreum"|"sourwood"|||"22426512"|"93528571"
"SMILA2"|"Smilax"|"greenbrier"|||"22426512"|"93528572"
"VACCI"|"Vaccinium"|"blueberry"|||"22426512"|"93528573"
"ACRU"|"Acer rubrum"|"red maple"|||"22426513"|"93528574"
"ILOP"|"Ilex opaca"|"American holly"|||"22426513"|"93528575"
"MOCE2"|"Morella cerifera"|"wax myrtle"|||"22426513"|"93528576"
"SANI"|"Salix nigra"|"black willow"|||"22426513"|"93528577"
"SMILA2"|"Smilax"|"greenbrier"|||"22426513"|"93528578"
