|"505509"|"122439"|"30138661"
21665|"505517"|"122438"|"30138658"
21665|"505513"|"122438"|"30138659"
3235|"505511"|"122438"|"30138660"
1191|"505510"|"122438"|"30138531"
2289|"505509"|"122438"|"30138655"
18|"505517"|"122436"|"30138652"
18|"505512"|"122436"|"30138653"
|"505511"|"122436"|"30138654"
|"505510"|"122436"|"30138530"
|"505509"|"122436"|"30138649"
4158|"505517"|"122434"|"30138646"
4158|"505513"|"122434"|"30138647"
1200|"505511"|"122434"|"30138648"
|"505510"|"122434"|"30138529"
2833|"505509"|"122434"|"30138643"
1442|"505517"|"122432"|"30138640"
1442|"505512"|"122432"|"30138641"
|"505511"|"122432"|"30138642"
|"505510"|"122432"|"30138528"
|"505509"|"122432"|"30138637"
2443|"505517"|"122431"|"30138634"
2443|"505512"|"122431"|"30138635"
|"505511"|"122431"|"30138636"
|"505510"|"122431"|"30138527"
|"505509"|"122431"|"30138631"
949|"505517"|"122429"|"30138628"
949|"505513"|"122429"|"30138629"
213|"505511"|"122429"|"30138630"
31|"505510"|"122429"|"30138526"
212|"505509"|"122429"|"30138625"
8370|"505517"|"122428"|"30138622"
8370|"505513"|"122428"|"30138623"
1920|"505511"|"122428"|"30138624"
545|"505510"|"122428"|"30138525"
3282|"505509"|"122428"|"30138619"
328|"505508"|"122428"|"30138620"
341|"505517"|"122427"|"30138616"
341|"505512"|"122427"|"30138617"
|"505511"|"122427"|"30138618"
|"505510"|"122427"|"30138524"
|"505509"|"122427"|"30138613"
2748|"505517"|"122425"|"30138610"
2748|"505513"|"122425"|"30138611"
3|"505511"|"122425"|"30138612"
531|"505510"|"122425"|"30138523"
24|"505509"|"122425"|"30138607"
1916|"505507"|"122425"|"30138609"
1341|"505517"|"122424"|"30138603"
669|"505513"|"122424"|"30138604"
671|"505512"|"122424"|"30138605"
|"505511"|"122424"|"30138606"
9|"505510"|"122424"|"30138522"
|"505509"|"122424"|"30138600"
993|"505508"|"122424"|"30138601"
339|"505507"|"122424"|"30138602"
1993|"505517"|"122422"|"30138597"
1993|"505512"|"122422"|"30138598"
|"505511"|"122422"|"30138599"
|"505510"|"122422"|"30138521"
|"505509"|"122422"|"30138594"
1993|"505508"|"122422"|"30138595"
|"505507"|"122422"|"30138596"
379|"505517"|"122421"|"30138591"
379|"505512"|"122421"|"30138592"
|"505511"|"122421"|"30138593"
|"505510"|"122421"|"30138520"
|"505509"|"122421"|"30138588"
379|"505508"|"122421"|"30138589"
|"505507"|"122421"|"30138590"
1074|"505517"|"122419"|"30138585"
1074|"505512"|"122419"|"30138586"
127|"505511"|"122419"|"30138587"
244|"505510"|"122419"|"30138519"
31|"505509"|"122419"|"30138582"
13|"505508"|"122419"|"30138583"
660|"505507"|"122419"|"30138584"
9|"505517"|"122416"|"30138579"
9|"505513"|"122416"|"30138580"
|"505511"|"122416"|"30138581"
|"505510"|"122416"|"30138518"
|"505509"|"122416"|"30138576"
9|"505508"|"122416"|"30138577"
|"505507"|"122416"|"30138578"
780|"505517"|"122414"|"30138573"
780|"505513"|"122414"|"30138574"
12|"505511"|"122414"|"30138575"
400|"505510"|"122414"|"30138517"
1|"505509"|"122414"|"30138570"
|"505508"|"122414"|"30138571"
367|"505507"|"122414"|"30138572"
727|"505517"|"122412"|"30138567"
727|"505512"|"122412"|"30138568"
85|"505511"|"122412"|"30138569"
|"505510"|"122412"|"30138516"
120|"505509"|"122412"|"30138564"
418|"505508"|"122412"|"30138565"
103|"505507"|"122412"|"30138566"
504|"505517"|"122409"|"30138561"
504|"505513"|"122409"|"30138562"
|"505511"|"122409"|"30138563"
|"505510"|"122409"|"30138515"
483|"505509"|"122409"|"30138558"
21|"505508"|"122409"|"30138559"
|"505507"|"122409"|"30138560"
971|"505517"|"122404"|"30138555"
971|"505513"|"122404"|"30138556"
6|"505511"|"122404"|"30138557"
234|"505510"|"122404"|"30138514"
81|"505509"|"122404"|"30138552"
214|"505508"|"122404"|"30138553"
436|"505507"|"122404"|"30138554"
14415|"505517"|"122403"|"30138549"
14415|"505513"|"122403"|"30138550"
